"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120","Should delete post with id 1","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Posts API > Positive Scenarios","../../../tests/jsonplaceholder-api/posts.spec.js","",""
"","372","Should fully update post with id 1","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Posts API > Positive Scenarios","../../../tests/jsonplaceholder-api/posts.spec.js","",""
"","108","Should create a user with id 11","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Users API > Positive Scenarios","../../../tests/jsonplaceholder-api/users.spec.js","",""
"","61","Should get user with id 1","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Users API > Positive Scenarios","../../../tests/jsonplaceholder-api/users.spec.js","",""
"","108","Should partially update user with id 1","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Users API > Positive Scenarios","../../../tests/jsonplaceholder-api/users.spec.js","",""
"","104","Should create a post with id 101 with empty body","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Posts API > Edge Cases","../../../tests/jsonplaceholder-api/posts.spec.js","",""
"","182","Should return a list of 100 posts","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Posts API > Positive Scenarios","../../../tests/jsonplaceholder-api/posts.spec.js","",""
"","49","Should return a list of posts for existing user with id 1","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Posts API > Positive Scenarios","../../../tests/jsonplaceholder-api/posts.spec.js","",""
"","167","Should get post with id 1","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Posts API > Positive Scenarios","../../../tests/jsonplaceholder-api/posts.spec.js","",""
"","250","Should fully update user with id 1","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Users API > Positive Scenarios","../../../tests/jsonplaceholder-api/users.spec.js","",""
"","99","Should delete user with id 1","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Users API > Positive Scenarios","../../../tests/jsonplaceholder-api/users.spec.js","",""
"","97","Should return 404 for DELETE request to user list endpoint","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Users API > Negative Scenarios","../../../tests/jsonplaceholder-api/users.spec.js","",""
"","250","Should return 200 and empty list of posts for non-existing user with id 99","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Posts API > Negative Scenarios","../../../tests/jsonplaceholder-api/posts.spec.js","",""
"","108","Should replace the nested address object when partially updating user with id 1","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Users API > Positive Scenarios","../../../tests/jsonplaceholder-api/users.spec.js","",""
"","228","Should create a new post with id 101","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Posts API > Positive Scenarios","../../../tests/jsonplaceholder-api/posts.spec.js","",""
"","88","Should return 500 for a malformed JSON payload","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Users API > Negative Scenarios","../../../tests/jsonplaceholder-api/users.spec.js","",""
"","248","Should return 404 for a non-existent post with id 9999","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Posts API > Negative Scenarios","../../../tests/jsonplaceholder-api/posts.spec.js","",""
"","251","Should return 404 for a non-existent user with id 99","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Users API > Negative Scenarios","../../../tests/jsonplaceholder-api/users.spec.js","",""
"","104","Should create a user with id 11 with empty body","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Users API > Edge Cases","../../../tests/jsonplaceholder-api/users.spec.js","",""
"","113","Should partially update post with id 1","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Posts API > Positive Scenarios","../../../tests/jsonplaceholder-api/posts.spec.js","",""
"","31","Should return a list of 10 users","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Users API > Positive Scenarios","../../../tests/jsonplaceholder-api/users.spec.js","",""
"","90","Should return 500 for a malformed JSON payload","jsonplaceholder-api","Tue Nov 25 01:43:32 UTC 2025","passed","Tue Nov 25 01:43:32 UTC 2025","Posts API > Negative Scenarios","../../../tests/jsonplaceholder-api/posts.spec.js","",""
